coefficients,accuracy,fluxes
"[0.09374799656316603, -0.19551822430172044, -0.27528240772312706, -0.4354513714119864]",0.6,"{'r_2111': 0.08374770604149198, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.07698499283256328, -0.1605577681477348, -0.22605938219934574, -0.5363978568203562]",0.6,"{'r_2111': 0.08374770604135452, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.598775743641113}"
"[0.3550652280670068, -0.11218591981532722, -0.1579536139390214, -0.3747952381786446]",0.6,"{'r_2111': 0.08374770604153098, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436366792}"
"[0.07672640106983057, -0.16060274999089372, -0.2261227149660627, -0.536548133973213]",0.6,"{'r_2111': 0.08374770604171973, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436389529}"
"[0.15687237189464803, -0.3283633009313817, -0.462323348174501, -0.05244097899946928]",0.6,"{'r_2111': 0.08374770604149143, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.09772622489298677, -0.3513982762060995, -0.4947557389560452, -0.05611975994486853]",0.6,"{'r_2111': 0.08374770604145398, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436362244}"
"[0.050799945520353565, -0.1826634898335981, -0.25718341839533243, -0.5093531462507159]",0.6,"{'r_2111': 0.0837477060414013, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436359971}"
"[0.4717708433982205, 0.008662817272320367, -0.1625055438144807, -0.35706079551497844]",0.6,"{'r_2111': 0.08374770604149098, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.2743262828326403, 0.005037272850641373, -0.5130119966646848, -0.2076244476520335]",0.6,"{'r_2111': 0.08374770604138955, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436371339}"
"[0.23535219632203555, -0.14639362778074377, -0.4401273509335812, -0.1781268249636395]",0.6,"{'r_2111': 0.08374770604128223, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436391803}"
"[0.11533603290598288, -0.07174124794587784, -0.21568756707347453, -0.5972351520746647]",0.6,"{'r_2111': 0.0837477060412131, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436359971}"
"[0.1430015428975333, -0.08894973138202023, -0.02755552452859486, -0.7404932011918516]",0.6,"{'r_2111': 0.08374770604134232, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436327001}"
"[0.2969533453784661, -0.07297073939788472, -0.022605430821509558, -0.6074704844021396]",0.6,"{'r_2111': 0.08374770604138158, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436397487}"
"[0.517932396061357, -0.05003484373040068, -0.015500174562372612, -0.4165325856458697]",0.6,"{'r_2111': 0.08374770604124257, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.598775743635656}"
"[0.4954115003407431, -0.09134152078952383, -0.014826191205422775, -0.39842078766431027]",0.6,"{'r_2111': 0.08374770604149122, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.5305384296635934, -0.09781805018540672, -0.015877435615860858, -0.35576608453513897]",0.6,"{'r_2111': 0.08374770604149154, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.4658101806613706, -0.20125703026343675, -0.14795613048107448, -0.1849766585941182]",0.6,"{'r_2111': 0.0837477060414906, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436371339}"
"[0.5220172813474916, -0.18008089819522932, -0.13238828395533064, -0.16551353650194847]",0.6,"{'r_2111': 0.08374770604183247, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436340644}"
"[0.4348398663770096, -0.3170082190604523, -0.1102793063793159, -0.1378726081832222]",0.6,"{'r_2111': 0.08374770604148492, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.28606928577216106, -0.20855105941896923, -0.07254974727645665, -0.43282990753241307]",0.6,"{'r_2111': 0.0837477060413083, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436328138}"
"[0.3606644617526115, -0.0021735280358765453, -0.09146775572611157, -0.5456942544854004]",0.6,"{'r_2111': 0.0837477060414924, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
