coefficients,accuracy,fluxes
"[0.21238103807544317, -0.09166531329724353, 0.3276256904398012, 0.14605130500977836, 0.2222766531777337]",0.0,{'r_2111': 0.0}
"[0.319833945341313, -0.02282325611844183, -0.0812755940352402, 0.2450809997717762, 0.33098620473322876]",0.0,{'r_2111': 0.0}
"[-0.010570512250216166, 0.15048535084703155, 0.3171709098743723, -0.3006876406741004, -0.22108558635427955]",0.0,{'r_2111': 0.0}
"[-0.025513854964451178, -0.19978849069328936, 0.22500811358265255, -0.3124073461273836, -0.23728219463222333]",0.0,{'r_2111': 0.0}
"[-0.14705309773690103, -0.3206829352892148, 0.1025419657400621, 0.22475674078998567, 0.2049652604438364]",0.0,{'r_2111': 0.0}
"[0.5068671800986259, 0.1700468471581323, -0.18927595136348188, 0.04780555034653487, -0.08600447103322503]",0.0,{'r_2111': 0.0}
"[0.38285256622643377, 0.21281077046527921, -0.2368756711069956, 0.05982784257271214, -0.1076331496285793]",0.0,{'r_2111': 0.0}
"[0.34646481000946394, 0.2876282127597434, -0.21436211122955012, 0.05414157808719336, -0.09740328791404923]",0.0,{'r_2111': 0.0}
"[0.3654836021195807, 0.3034172367109278, 0.1712354119265298, 0.05711361850343608, -0.10275013073952564]",0.0,{'r_2111': 0.0}
"[0.2869415624484408, 0.2382131933435863, 0.13443710295003813, -0.25973890497702884, -0.0806692362809059]",0.0,{'r_2111': 0.0}
"[0.30259077182326566, 0.25120485654730657, 0.1417690291926439, -0.27390453672479503, 0.030530805711988865]",0.0,{'r_2111': 0.0}
"[-0.2019790641063459, -0.22263858193352037, 0.24069088169724934, -0.2285442883677577, -0.1061471838951267]",0.0,{'r_2111': 0.0}
"[-0.17013985863939368, -0.23660076044246178, -0.240645825021935, -0.24304062721360442, -0.10957292868260513]",0.0,{'r_2111': 0.0}
"[0.1855788680189123, 0.10212856506339876, 0.22683551478237046, 0.22382852964490815, 0.2616285224904103]",0.0,{'r_2111': 0.0}
"[-0.2158059572236919, -0.30726978409586575, -0.1705875378380729, -0.1738832762390068, -0.13245344460336267]",0.0,{'r_2111': 0.0}
"[-0.01714578654791982, 0.2270665223398141, 0.36514362680239043, 0.025204720267398156, -0.36543934404247747]",0.0,{'r_2111': 0.0}
"[0.17272106365455925, 0.19112432801316806, 0.30734530824609024, 0.02121508346640887, -0.3075942166197736]",0.0,{'r_2111': 0.0}
"[0.18230000297426324, 0.14626488345437982, 0.32439037498892287, 0.022391651007664982, -0.3246530875747691]",0.0,{'r_2111': 0.0}
"[0.1839172371102806, 0.14756244000163024, 0.31839685370333043, 0.022590293584629155, -0.32753317560012957]",0.0,{'r_2111': 0.0}
"[0.17335460105155595, 0.13908771313989507, 0.3001108564757042, -0.07872436329632218, -0.3087224660365226]",0.0,{'r_2111': 0.0}
"[0.17965698110900327, 0.14414430595145897, 0.31102151396851224, -0.08158642091846988, 0.2835907780525556]",0.0,{'r_2111': 0.0}
"[0.2157474075274486, 0.17646487204139813, 0.28245099865625023, -0.07322837830435014, 0.25210834347055294]",0.0,{'r_2111': 0.0}
"[0.16250498736884048, 0.11594284083265563, -0.3359259385067815, -0.18002211071237886, 0.2056041225793435]",0.0,{'r_2111': 0.0}
"[0.08659484585231002, 0.034722786125566556, -0.4686767788478932, -0.2949937923752982, -0.11501179679893202]",0.0,{'r_2111': 0.0}
"[-0.04387109913746489, -0.14566763118766432, -0.4572548864180748, -0.11640999731708922, 0.23679638593970675]",0.0,{'r_2111': 0.0}
"[0.13600650800550973, 0.10192586789400379, 0.30992969165946915, -0.2221662631744191, 0.2299716692665982]",0.0,{'r_2111': 0.0}
"[-0.12490850068214118, 0.10323510695518824, 0.31391074246556494, -0.22501999163251593, 0.23292565826458972]",0.0,{'r_2111': 0.0}
"[-0.1138733505075797, 0.18246058169854923, 0.28617802479144366, -0.2051404046838079, 0.21234763831861952]",0.0,{'r_2111': 0.0}
"[-0.1283864157123933, 0.2057150333125201, 0.19520199901672983, -0.23128538115150019, 0.23941117080685662]",0.0,{'r_2111': 0.0}
"[-0.12980488949055172, 0.20798787019255643, 0.19735868292688447, -0.2227922588560204, 0.24205629853398702]",0.0,{'r_2111': 0.0}
"[-0.11857274453071348, 0.1899904748936616, 0.18028104167301723, -0.20351382522211034, 0.3076419136804973]",0.0,{'r_2111': 0.0}
"[-0.12313076498859529, 0.24050739891744874, 0.2290649448378276, 0.0542487591913996, -0.35304813206472874]",0.0,{'r_2111': 0.0}
"[0.12392958779381288, 0.23338163304291626, -0.24609500581697014, 0.2966478587139744, -0.09994591463232626]",0.0,{'r_2111': 0.0}
"[0.11475409448408258, 0.23310023602352725, -0.24655239950486274, 0.2963896856956568, -0.10920358429187059]",0.0,{'r_2111': 0.0}
"[-0.03666189436765691, 0.12105107618103902, 0.4323217636503976, -0.3312719475684618, 0.07869331823244467]",0.0,{'r_2111': 0.0}
"[-0.20522338688957717, -0.05806517543573766, 0.14611293704009382, 0.40674916909361214, -0.18384933154097918]",0.0,{'r_2111': 0.0}
"[-0.20646937159257034, -0.057974145680739705, 0.14588387332400274, 0.4061115015600112, -0.18356110784267599]",0.0,{'r_2111': 0.0}
"[-0.1640149832083596, 0.2516742145033297, 0.11588712092766291, 0.3226065473794652, -0.14581713398118254]",0.0,{'r_2111': 0.0}
"[-0.14729811803559292, 0.22602287564991883, 0.20599837483782127, 0.2897255870494981, -0.13095504442716888]",0.0,{'r_2111': 0.0}
"[-0.1470851495968872, 0.22569608438075064, 0.20570053564713642, -0.29075252503618804, -0.13076570533903775]",0.0,{'r_2111': 0.0}
"[-0.15189116760683002, 0.23307072042851124, 0.21242181567903942, -0.3002528850357528, 0.1023634112498665]",0.0,{'r_2111': 0.0}
"[-0.18588306810570657, 0.14386867311943027, 0.09622690553431187, 0.41631823254731015, -0.15770312069324113]",0.0,{'r_2111': 0.0}
"[0.11472399859101866, 0.2426882075223074, 0.22420023458499394, -0.23482245172795033, -0.18356510757372965]",0.0,{'r_2111': 0.0}
"[-0.259886179341986, 0.05755526081176675, -0.04015494062618841, 0.26976215413581006, 0.37264146508424884]",0.0,{'r_2111': 0.0}
"[-0.19071125988223223, 0.03457288068749938, 0.3313569214501929, 0.18517340374954205, 0.2581855342305335]",0.0,{'r_2111': 0.0}
"[-0.09657853351103766, 0.21720812440075307, 0.2501443602455603, -0.23452018061437044, 0.20154880122827848]",0.0,{'r_2111': 0.0}
"[-0.1294660169128892, 0.20930104132718041, 0.24103829092930376, -0.2259828823173429, 0.1942117685132837]",0.0,{'r_2111': 0.0}
"[-0.13962978047890778, 0.1472270124856586, 0.2599610650887268, -0.24372372768054193, 0.2094584142661649]",0.0,{'r_2111': 0.0}
"[-0.1408238790932665, 0.14848608179739367, -0.2536323330394593, -0.2458080263488596, 0.21124967972102093]",0.0,{'r_2111': 0.0}
"[-0.1740927889664696, 0.18356514725525433, -0.31355165413152736, -0.0676340905075148, 0.2611563191392339]",0.0,{'r_2111': 0.0}
"[-0.1648454021816665, 0.17381461176808022, -0.29689655060895986, -0.06404153162857219, 0.30040190381272125]",0.0,{'r_2111': 0.0}
"[-0.058212931046806415, 0.375139566143235, 0.29889673044446796, 0.07077663734400821, 0.19697413502148237]",0.0,{'r_2111': 0.0}
"[0.23657142062180125, -0.11342771758462623, 0.051655077034665535, 0.3408644537828926, -0.2574813309760144]",0.0,{'r_2111': 0.0}
"[0.3937046851143487, -0.009449486181104635, 0.18070474562910352, -0.24076028795874926, -0.17538079511669386]",0.0,{'r_2111': 0.0}
"[0.31533027618033055, -0.01691165227429066, 0.10393494190442093, -0.3143550468699935, -0.24946808277096436]",0.0,{'r_2111': 0.0}
"[0.07405759969357466, -0.20485496969546999, -0.10340590141839595, 0.3213330533982828, -0.29634847579427664]",0.0,{'r_2111': 0.0}
"[-0.0924405628888294, -0.20078793337978704, -0.10135295851469325, 0.3149535489149752, -0.29046499630171513]",0.0,{'r_2111': 0.0}
"[-0.10481008262260416, -0.09384495163465698, -0.11491505053626239, 0.35709764688213447, -0.329332268324342]",0.0,{'r_2111': 0.0}
"[-0.09020548487108047, -0.08076827298561474, 0.23824583455434273, 0.30733843135410044, -0.2834419762348616]",0.0,{'r_2111': 0.0}
"[-0.12556802227963051, -0.11243121542154039, 0.33164345055186156, -0.03579983624857891, -0.39455747549838865]",0.0,{'r_2111': 0.0}
"[-0.1563086545814792, -0.13995579205958603, 0.41283394143996177, -0.04456408675284508, -0.2463375251661279]",0.0,{'r_2111': 0.0}
"[0.106150021829329, 0.042659354647324656, -0.3878728179259667, 0.20747149978714777, -0.2558463058102319]",0.0,{'r_2111': 0.0}
"[-0.23282034661467232, 0.015463142413974782, 0.2859558237613393, 0.1811442732781469, -0.28461641393186665]",0.0,{'r_2111': 0.0}
"[0.3487693867644295, -0.23320282303339138, -0.007773368049072412, -0.10014569662705251, 0.31010872552605423]",0.0,{'r_2111': 0.0}
"[0.20165216145108675, 0.08379144449201453, -0.25464127498534694, 0.30773979201033475, 0.15217532706121703]",0.0,{'r_2111': 0.0}
"[-0.1310233589149331, 0.30892262179377655, 0.08427381876974273, -0.1862589064576104, -0.28952129406393723]",0.0,{'r_2111': 0.0}
"[0.21045512080284662, 0.28068450010448354, 0.07657048407763323, -0.1692332783707954, -0.26305661664424124]",0.0,{'r_2111': 0.0}
"[0.22087241393825588, -0.2450791872441006, 0.08036063741347975, -0.17761013640271003, -0.2760776250014537]",0.0,{'r_2111': 0.0}
"[0.21262442645853732, -0.2359272518263349, -0.1147025174754705, -0.17097768214914186, -0.2657681220905154]",0.0,{'r_2111': 0.0}
"[0.20110796961498628, -0.2231486352810462, -0.10848984184664048, 0.21588033000052523, -0.25137322325680184]",0.0,{'r_2111': 0.0}
"[0.23885884484987005, -0.26503686231380325, -0.1288549546347893, 0.2564041909848393, 0.1108451472166981]",0.0,{'r_2111': 0.0}
"[0.2177358892659592, -0.07917270047335782, -0.17032719259075685, -0.31561194180449303, 0.2171522758654331]",0.0,{'r_2111': 0.0}
"[0.1198857706781895, -0.18692159250324572, -0.28111512659142, 0.29279481030783755, 0.11928269991930722]",0.0,{'r_2111': 0.0}
"[0.0832271584722716, 0.3327820010699558, 0.23057897193928875, 0.2708390583862241, 0.08257281013225974]",0.0,{'r_2111': 0.0}
"[-0.4845003968677936, 0.008964551272611768, -0.19312974910772598, -0.11352023058158275, -0.19988507217028587]",0.0,{'r_2111': 0.0}
"[-0.2732617906017473, -0.21638939630297235, -0.0983842871902069, -0.3095257670616625, -0.10243875884341087]",0.0,{'r_2111': 0.0}
"[0.3765098003917165, -0.18564686175750786, -0.08440678921964534, -0.2655513082888236, -0.08788524034230671]",0.0,{'r_2111': 0.0}
"[0.3218498989052965, -0.30387077588983935, -0.07215301314600576, -0.22699983277462507, -0.0751264792842333]",0.0,{'r_2111': 0.0}
"[0.32291880164606507, -0.3048799677718094, -0.06907152021829191, -0.22775372688561313, -0.07537598347822044]",0.0,{'r_2111': 0.0}
"[0.38359063262984316, -0.3621625594967262, -0.08204907240514174, -0.08265968119544463, -0.08953805427284421]",0.0,{'r_2111': 0.0}
"[0.4063409727335502, -0.38364202406261494, -0.0869153129846189, -0.08756213631320303, 0.03553955390601296]",1.0,{'r_2111': 0.0837471143408829}
"[0.4063409727335502, -0.38364202406261494, -0.0869153129846189, -0.08756213631320303, 0.03553955390601296]",1.0,{'r_2111': 0.08374711434088285}
"[0.40634097529600244, -0.3836420224066739, -0.08691531260946021, -0.08756213593525242, 0.03553955375261108]",1.0,{'r_2111': 0.08374711434088285}
"[0.4063409744874683, -0.38364202140218556, -0.08691531335977758, -0.08756213669115365, 0.035539554059414835]",1.0,{'r_2111': 0.08374711434088285}
"[0.4063409744874683, -0.383642025718556, -0.08691530904340718, -0.08756213669115365, 0.035539554059414835]",1.0,{'r_2111': 0.08374711434088285}
"[0.4063409744874683, -0.383642025718556, -0.08691531335977758, -0.08756213237478323, 0.035539554059414835]",1.0,{'r_2111': 0.08374711434088285}
"[0.40634097097963207, -0.3836420224066739, -0.08691531260946021, -0.08756213593525242, 0.035539558068981444]",1.0,{'r_2111': 0.08374711434088285}
"[0.2439208095835016, -0.24304302184324203, -0.24864361693747342, -0.24904233383110433, 0.0153502178046786]",1.0,{'r_2111': 0.08374711434088301}
"[0.3455522572173906, -0.2261526201578107, -0.37499680128683816, -0.006960725236947829, 0.046337596101012686]",1.0,{'r_2111': 0.08374711434088292}
"[0.2026949537211745, -0.1603821451117126, -0.3332602025036076, -0.28067241611363564, 0.022990282549869682]",1.0,{'r_2111': 0.08374711434088335}
"[0.3137187730720663, -0.2827163733795918, -0.279143311345278, -0.08962373997605334, 0.03479780222701053]",1.0,{'r_2111': 0.08374711434088261}
"[0.3697776392865815, -0.15454391347602447, -0.32902383775479255, -0.10563873710154553, 0.04101587238105589]",1.0,{'r_2111': 0.08374711434088312}
"[0.4075889843082081, -0.17034668955709947, -0.26041365564402946, -0.11644074974866447, 0.04520992074199848]",1.0,{'r_2111': 0.0837471143408832}
"[0.2683000112077194, -0.45387142179968615, -0.17142020372931177, -0.07664842688431997, 0.0297599363789627]",1.0,{'r_2111': 0.0837471143408828}
"[0.2144487907098685, -0.36277366185928406, -0.3377266943931983, -0.06126411393412297, 0.023786739103526185]",1.0,{'r_2111': 0.08374711434088322}
"[0.3244921194351785, -0.31195479626178807, -0.2904165137061785, -0.05268197829612971, 0.02045459230072525]",1.0,{'r_2111': 0.08374711434088306}
"[0.3205330829872274, -0.3203494409273627, -0.2868732240729788, -0.052039220399304385, 0.020205031613126707]",1.0,{'r_2111': 0.08374711434088286}
"[0.3710355874500397, -0.37082301114144967, -0.17451450013670267, -0.06023840825212852, 0.02338849301967942]",1.0,{'r_2111': 0.08374711434088286}
"[0.30587862219316114, -0.3057033760696577, -0.14386828827229559, -0.22526843624509002, 0.019281277219795546]",1.0,{'r_2111': 0.08374711434088286}
"[0.4134507711512382, -0.061531425395183234, -0.19446424305137056, -0.30449139601116054, 0.026062164391047478]",1.0,{'r_2111': 0.08374711434088249}
"[0.3340857559662713, -0.24167759483328666, -0.15713535487508135, -0.24604196030004, 0.021059334025320654]",1.0,{'r_2111': 0.0837471143408828}
